iter	Passed	Remaining
475	625	688
476	625	686
477	626	684
478	627	682
479	628	680
480	629	679
481	630	677
482	631	675
483	632	673
484	632	672
485	633	670
486	634	668
487	635	666
488	635	664
489	636	662
490	637	660
491	638	658
492	638	657
493	639	655
494	640	653
495	641	651
496	641	649
497	642	647
498	643	646
499	644	644
500	645	643
501	646	641
502	647	640
503	648	638
504	649	636
505	650	634
506	651	633
507	651	631
508	652	629
509	653	627
510	654	625
511	654	624
512	655	622
513	656	620
514	656	618
515	657	617
516	658	615
517	660	614
518	661	612
519	661	610
520	662	609
521	663	607
522	664	605
523	664	603
524	665	602
525	666	600
526	667	598
527	667	597
528	668	595
529	669	593
530	670	591
531	670	590
532	671	588
533	672	586
534	673	585
535	674	584
536	675	582
537	676	581
538	677	579
539	678	578
540	679	576
541	680	574
542	681	573
543	681	571
544	682	569
545	683	568
546	684	566
547	684	564
548	685	563
549	686	561
550	687	560
551	688	558
552	689	557
553	690	555
554	691	554
555	691	552
556	692	550
557	693	549
558	694	547
559	695	546
560	695	544
561	696	542
562	697	541
563	698	539
564	698	538
565	699	536
566	700	534
567	700	533
568	701	531
569	703	530
570	703	528
571	704	527
572	705	525
573	706	524
574	707	522
575	707	521
576	708	519
577	709	518
578	710	516
579	711	514
580	711	513
581	712	511
582	713	510
583	714	508
584	714	507
585	715	505
586	716	504
587	717	502
588	718	501
589	719	499
590	720	498
591	721	497
592	721	495
593	722	493
594	723	492
595	724	490
596	724	489
597	725	487
598	726	486
599	727	484
600	728	483
601	728	481
602	729	480
603	730	478
604	731	477
605	732	476
606	733	474
607	733	473
608	734	471
609	735	470
610	736	468
611	737	467
612	738	466
613	739	464
614	740	463
615	740	461
616	741	460
617	742	458
618	743	457
619	743	455
620	744	454
621	745	452
622	746	451
623	747	450
624	748	448
625	749	447
626	749	446
627	750	444
628	751	443
629	752	441
630	752	440
631	753	438
632	754	437
633	755	435
634	755	434
635	756	432
636	757	431
637	758	430
638	758	428
639	759	427
640	760	425
641	761	424
642	762	423
643	763	422
644	765	421
645	766	419
646	767	418
647	767	417
648	768	415
649	769	414
650	770	412
651	770	411
652	771	410
653	772	408
654	773	407
655	773	405
656	774	404
657	775	403
658	776	401
659	777	400
660	778	399
661	779	398
662	780	396
663	781	395
664	782	394
665	783	392
666	784	391
667	784	390
668	785	388
669	786	387
670	787	385
671	787	384
672	788	383
673	789	381
674	790	380
675	791	379
676	792	377
677	793	376
678	793	375
679	794	373
680	795	372
681	796	371
682	797	370
683	798	368
684	799	367
685	800	366
686	800	364
687	801	363
688	802	362
689	803	360
690	804	359
691	804	358
692	806	357
693	807	355
694	808	354
695	808	353
696	809	351
697	810	350
698	811	349
699	812	348
700	812	346
701	813	345
702	814	344
703	814	342
704	815	341
705	816	340
706	817	338
707	817	337
708	818	336
709	819	334
710	820	333
711	821	332
712	822	331
713	823	329
714	823	328
715	824	327
716	825	325
717	826	324
718	826	323
719	827	321
720	828	320
721	829	319
722	830	317
723	830	316
724	831	315
725	832	314
726	832	312
727	833	311
728	834	310
729	835	309
730	836	307
731	837	306
732	838	305
733	839	304
734	839	302
735	840	301
736	841	300
737	842	298
738	842	297
739	843	296
740	844	295
741	845	293
742	845	292
743	846	291
744	847	290
745	848	288
746	848	287
747	849	286
748	850	285
749	851	283
750	852	282
751	853	281
752	854	280
753	855	279
754	856	277
755	857	276
756	858	275
757	859	274
758	860	273
759	861	271
760	861	270
761	862	269
762	863	268
763	865	267
764	866	266
765	867	265
766	868	263
767	869	262
768	870	261
769	871	260
770	872	259
771	873	257
772	874	256
773	874	255
774	875	254
775	876	253
776	877	251
777	878	250
778	879	249
779	880	248
780	882	247
781	883	246
782	884	245
783	885	243
784	886	242
785	887	241
786	887	240
787	888	239
788	889	237
789	890	236
790	891	235
791	891	234
792	892	232
793	893	231
794	894	230
795	895	229
796	897	228
797	897	227
798	898	226
799	899	224
800	900	223
801	900	222
802	901	221
803	902	219
804	903	218
805	903	217
806	904	216
807	905	215
808	906	213
809	906	212
810	907	211
811	908	210
812	909	209
813	910	208
814	911	206
815	912	205
816	913	204
817	913	203
818	914	202
819	915	200
820	916	199
821	916	198
822	917	197
823	918	196
824	919	194
825	919	193
826	920	192
827	921	191
828	922	190
829	923	189
830	924	187
831	925	186
832	926	185
833	926	184
834	927	183
835	928	182
836	929	180
837	929	179
838	930	178
839	931	177
840	932	176
841	932	175
842	933	173
843	934	172
844	935	171
845	935	170
846	936	169
847	937	168
848	939	167
849	940	165
850	941	164
851	942	163
852	942	162
853	943	161
854	944	160
855	945	159
856	945	157
857	946	156
858	947	155
859	948	154
860	949	153
861	949	152
862	950	150
863	951	149
864	952	148
865	954	147
866	956	146
867	958	145
868	959	144
869	960	143
870	961	142
871	963	141
872	964	140
873	966	139
874	967	138
875	968	137
876	970	136
877	971	134
878	972	133
879	973	132
880	973	131
881	974	130
882	975	129
883	976	128
884	977	127
885	978	125
886	979	124
887	980	123
888	981	122
889	982	121
890	983	120
891	984	119
892	985	118
893	986	116
894	987	115
895	988	114
896	989	113
897	990	112
898	991	111
899	992	110
900	993	109
901	994	108
902	995	106
903	997	105
904	998	104
905	999	103
906	1000	102
907	1001	101
908	1002	100
909	1003	99
910	1004	98
911	1005	97
912	1006	95
913	1007	94
914	1008	93
915	1008	92
916	1009	91
917	1010	90
918	1011	89
919	1013	88
920	1014	86
921	1015	85
922	1016	84
923	1017	83
924	1017	82
925	1018	81
926	1019	80
927	1021	79
928	1021	78
929	1022	76
930	1023	75
931	1024	74
932	1025	73
933	1026	72
934	1027	71
935	1028	70
936	1029	69
937	1029	68
938	1030	66
939	1031	65
940	1032	64
941	1033	63
942	1033	62
943	1034	61
944	1035	60
945	1036	59
946	1037	58
947	1037	56
948	1038	55
949	1039	54
950	1040	53
951	1041	52
952	1042	51
953	1043	50
954	1044	49
955	1045	48
956	1045	46
957	1046	45
958	1047	44
959	1048	43
960	1049	42
961	1050	41
962	1050	40
963	1051	39
964	1052	38
965	1053	37
966	1054	35
967	1056	34
968	1057	33
969	1059	32
970	1059	31
971	1060	30
972	1061	29
973	1062	28
974	1063	27
975	1064	26
976	1064	25
977	1065	23
978	1066	22
979	1067	21
980	1067	20
981	1068	19
982	1069	18
983	1070	17
984	1071	16
985	1072	15
986	1073	14
987	1074	13
988	1074	11
989	1075	10
990	1076	9
991	1077	8
992	1078	7
993	1078	6
994	1079	5
995	1080	4
996	1081	3
997	1081	2
998	1082	1
999	1083	0
